paper_short_citation,paper_doi_link,data_citation_approaches,data_source,raw_mitma_data_shared,preprocessed_mitma_data_shared,code_language,code_for_mitma_data_download,code_for_mitma_preprocessing,code_for_analysis,code_for_datavis,repository_links,research_focus,data_years_used,data_type_used,data_time_resolution_used,data_spatial_resolution_used,publication_type
Aleta and Moreno (2020),https://doi.org/10.1186/s12916-020-01619-5,cites web link with current page title at the time of access,original primary data,not available,available,R,not available,not available,not available,not available,https://doi.org/10.5281/zenodo.3701750,epidemiology;covid-19,2017,origin-desintation matrices,daily,province,journal article
Ponce-de-Leon et al. (2021),https://doi.org/10.1038/s41597-021-01093-5,cites web link with current page title at the time of access;cites technical report or data methodology document with web link,original primary data,not available,available,Python,not available,not available,available,available,https://doi.org/10.5281/zenodo.4634737;https://github.com/bsc-flowmaps/flowmaps-data;https://doi.org/10.5281/zenodo.4634895,data integration;covid-19;human mobility,2020;2021,origin-desintation matrices,hourly,district,journal article
Christidis and Radics (2022),https://doi.org/10.2760/040554,cites web link with current page title at the time of access,original primary data,not available,available,R,not available,not available,not available,available,https://github.com/mikiradics/covid_spain,human mobility;daily mobility behaviour,2017;2020;2021,origin-desintation matrices,daily,province;district,journal article
Terroso-Saenz and Muñoz (2022),https://doi.org/10.1007/s10489-021-02645-3,provides footnote with web link;cites technical report or data methodology document without web link,original primary data,not available,not available,Python,not available,available,available,available,https://github.com/fterroso/GNN-nation-wide-mob-predictor,human mobility prediction;displacement;weather and climate,2020,origin-desintation matrices,daily,district,journal article
Terroso-Saenz et al. (2022),https://doi.org/10.1177/08944393211071071,provides footnote with web link;cites technical report or data methodology document without web link,original primary data,not available,no available,Python,not available,not available,available,available,https://github.com/fterroso/nation_wide_mobility_comparision,human mobility prediction;twitter;transportation,2017,origin-desintation matrices,daily,province,journal article
Smith et al. (2022),https://doi.org/10.1038/s41598-022-11531-y,provides web link in article body;provides web link to secondary data https://github.com/bsc-flowmaps/ in article body,secondary: https://github.com/bsc-flowmaps/,not available,not available,Python,not available,not available,not available,not available,not available,epidemiology;covid-19,2020,origin-desintation matrices,daily,autonomous community,journal article
Niraula et al. (2022),https://doi.org/10.1007/s00477-021-02168-w,cites technical report or data methodology document with web link,original primary data,not available,on request,Python;R,not available,not available,on request,not available,not available,epidemiology;covid-19,2020;2021,origin-desintation matrices,daily,municipality,journal article
Del-Águila-Mejía et al. (2023),https://doi.org/10.3390/ijerph20054356,cites web link with current page title at the time of access;provides web link in article body,original primary data,not available,not available,R,not available,not available,not available,not available,not available,epidemiology;covid-19,2020;2021,origin-desintation matrices,daily,province,journal article
de Miguel Arribas et al. (2023),https://doi.org/10.1038/s41598-023-31614-8,cites web link with current page title at the time of access,original primary data,not available,not available,Python;R,not available,available,available,available,https://github.com/phononautomata/madrid,epidemiology;covid-19,2020,origin-desintation matrices,daily,district,journal article
Rapti et al. (2023),https://doi.org/10.1007/s11538-023-01152-5,cites web link with current page title at the time of access;provides web link in article body,original primary data,available,not available,MATLAB,not available,available,available,available,https://gitlab.com/peacogr/metapopulation,epidemiology;covid-19,2020,origin-desintation matrices,daily,province,journal article
Vílchez-Gómez et al. (2023),https://doi.org/10.1007/s11356-023-30631-4,cites web link with current page title at the time of access,original primary data,on request,on request,R,not available,not available,not available,not available,not available,noise pollution;air pollution;transportation,2020,origin-desintation matrices,daily,province,journal article
Saladié et al. (2023),https://doi.org/10.1080/00291951.2023.2217818,cites web link with current page title at the time of access,original primary data,not available,not available,Change-Point Analyzer;PSPP,not available,not available,not available,not available,not available,traffic accidents;transportation,2020,origin-desintation matrices,daily,unknown,journal article
Steinegger et al. (2023),https://doi.org/10.2196/40514,cites technical report or data methodology document with web link;cites web link with current page title at the time of access,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,epidemiology;covid-19,2020,origin-desintation matrices,daily,province,journal article
Mars et al. (2022),https://doi.org/10.1016/j.tra.2022.05.004,cites web link with current page title at the time of access,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,psychological wellfbeing;covid-19,unknown,unknown,unknown,unknown,journal article
García-Martínez-de-Albéniz et al. (2022),https://doi.org/10.3390/su14084849,cites web link with current page title at the time of access,original primary data,not available,not available,R,not available,not available,not available,not available,not available,wildlife-vehicle collisions,2017,origin-desintation matrices,daily,unknown,journal article
Rodríguez Rasero et al. (2022),https://doi.org/10.1016/j.scitotenv.2021.150573,cites web link with current page title at the time of access,original primary data,not available,not available,R,not available,not available,available,not available,not available,epidemiology;covid-19 wastewater detection,2020;2021,origin-desintation matrices,daily,district,journal article
Echaniz et al. (2021),https://doi.org/10.1016/j.tranpol.2021.07.011,cites web link,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,daily mobility behaviour,2020,origin-desintation matrices,unknown,unknown,journal article
Sanjuán and Domingo-Calap (2021),https://doi.org/10.3389/fviro.2021.776998,cites web link with current page title at the time of access,original primary data,on request,not available,unknown,not available,not available,not available,not available,not available,covid-19;epidemiology,2020;2021,origin-desintation matrices,daily,district,journal article
Henríquez et al. (2020),https://doi.org/10.1016/j.hlpt.2020.08.013,cites web link with current page title at the time of access,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,epidemiology;covid-19,2020,origin-desintation matrices,daily,municipality,journal article
Terroso-Saenz and Muñoz (2023),https://doi.org/10.3897/jucs.94514,provides footnote with web link;cites technical report or data methodology document with web link,original primary data,not available,not available,Python,not available,available,available,available,https://github.com/fterroso/open_sensor_data_predictor,human mobility prediction;transportation,2017,origin-desintation matrices,hourly,district,journal article
Casaburi et al. (2024),https://doi.org/10.48550/arXiv.2405.19141,cites web link with current page title at the time of access,original primary data,not available,not available,Python,not available,not available,not available,not available,not available,covid-19;epidemiology,2020;2021,origin-desintation matrices,daily,municipality,preprint
Ponce-de-Leon et al. (2023),https://doi.org/10.1101/2023.10.09.23296732,provides web link in article body;cites secondary data : 10.5281/zenodo.4634895,secondary: https://github.com/bsc-flowmaps/,not available,not available,Python,not yet available (preprint),not yet available (preprint),not yet available (preprint),not yet available (preprint),https://gitlab.bsc.es/flowmaps/te-epidemics,epidemiology;covid-19,2020;2021,origin-desintation matrices,daily,district,preprint
Terroso-Saenz et al. (2022),https://doi.org/10.1016/j.eswa.2022.117477,provides footnote with web link;cites technical report or data methodology document without web link,original primary data,not available,not available,Python,not available,available,available,available,https://github.com/fterroso/mob_predictor_twitter,twitter;human mobility prediction;transportation,2020,origin-desintation matrices,daily,district,journal article
Gonzalez-Vidal et al. (2022),https://doi.org/10.32604/cmc.2022.021492,provides footnote with web link;cites technical report or data methodology document without web link,original primary data,not available,not available,Python,not available,available,available,available,https://github.com/fterroso/mobility_murcia_umu_ucam,parking availability prediction;transportation,2020,origin-desintation matrices,hourly,district,journal article
Ventura et al. (2022),https://doi.org/10.1016/j.epidem.2022.100544,cites web link with current page title at the time of access,original primary data,not available,not available,Python,not available,not available,available,available,https://github.com/paulocv/metapop-behavioral;https://doi.org/10.5281/zenodo.6258444,epidemiology;covid-19,2017,origin-desintation matrices,daily,province,journal article
Slater et al. (2022),https://doi.org/10.1016/j.spasta.2021.100540,cites secondary data : https://flowmaps.life.bsc.es/flowboard/,secondary: https://github.com/bsc-flowmaps/,not available,not available,R;stan,not available,not available,available,available,https://github.com/cghr-toronto/public/tree/master/covid/spain_public_code,epidemiology;covid-19,2020;2021,origin-desintation matrices,daily,municipality,journal article
Terroso-Saenz et al. (2021),https://doi.org/10.1109/ACCESS.2021.3090582,cites technical report or data methodology document without web link;provides footnote with web link,original primary data,not available,not available,Python,not available,not available,not available,not available,not available,human mobility prediction;transportation,2020,origin-desintation matrices,hourly,district,journal article
Terroso-Saenz et al. (2024),https://doi.org/10.1145/3637492,cites technical report or data methodology document without web link;provides footnote with web link,original primary data,not available,not available,Python,not available,not available,not available,not available,not available,air pollution;transportation,2020;2021,origin-desintation matrices,hourly,district,journal article
Conesa et al. (2024),https://doi.org/10.3389/fpubh.2024.1288531,provides web link to the Ministry homepage in article body,original primary data,not available,not available,MATLAB,not available,not available,not available,not available,not available,covid-19;epidemiology,2020;2021,origin-desintation matrices,daily,province,journal article
Belvis et al. (2023),https://doi.org/10.3389/10.1038/s41598-023-36169-2,provides web link in article body,original primary data,not available,not available,R;C,not available,not available,not available,not available,not available,covid-19;epidemiology,2020;2021,origin-desintation matrices,daily,district,journal article
Duran-Sala et al. (2023),https://doi.org/10.48550/arXiv.2407.01799,cites web link with current page title at the time of access;provides web link in article body,original primary data,not available,not available,Python,not yet available (preprint),not yet available (preprint),not yet available (preprint),not yet available (preprint),https://github.com/adprabhak/Complexity72h_Mobility;https://spain-mobility-dashboard.streamlit.app/,covid-19;epidemiology,2022;2023;2024,origin-desintation matrices,daily,district,journal article
Curado et al. (2023),https://doi.org/10.1016/j.jocs.2022.101819,provides footnote with web link,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,network science;graph theory,2020,origin-desintation matrices,quarterly,district,journal article
García-García et al. (2023),https://doi.org/10.1017/S0950268823000985,cites web link with current page title at the time of access,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,epidemiology;mpox,2022,origin-desintation matrices,daily,district,journal article
Al-Akioui and Monzon (2023),https://doi.org/10.1016/j.trpro.2023.11.054,cites technical report or data methodology document without web link,original primary data,not available,not available,unknown,not available,not available,not available,not available,not available,telework;daily mobility behaviour,2020;2021,origin-desintation matrices,daily,district,conference paper
Ferrari et al. (2021),https://doi.org/10.1038/s41746-020-00374-4,provides web link in article body,original primary data,not available,not available,R,not available,not available,available,not available,https://flowmaps.life.bsc.es/shiny/ct_app/;https://static-content.springer.com/esm/art%3A10.1038%2Fs41746-020-00374-4/MediaObjects/41746_2020_374_MOESM2_ESM.txt,telework;daily mobility behaviour,2020,origin-desintation matrices,daily,district,journal article
Terroso-Saenz et al. (2023),https://doi.org/10.1016/j.inffus.2022.11.005,provides footnote with web link;cites technical report or data methodology document without web link,original primary data,not available,not available,Python,not available,available,available,available,https://github.com/fterroso/tourist_mob,human mobility prediction;displacement;weather and climate,2020;2021,origin-desintation matrices,hourly,district,journal article
